Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,Latitudes,2401 Highway 528,,Rio Rancho,NM,87124,,505-369-7777,E,,Public,24 hours daily,,,,,,2,,,,,200-8,35.21843,-106.663,2015-01-06,50083,2015-01-06 17:43:46 UTC,P,,,2012-08-01,,,,,J1772
ELEC,American Bush - Solar Canopy,2630 S 300 W,Located across from Tire World,Salt Lake City,UT,84115,,801-518-3529,E,,Public,24 hours daily,,,,,,2,,,,,200-8,40.7144199,-111.900105,2015-01-06,42013,2015-01-06 17:47:30 UTC,P,,,2011-12-01,,,,,J1772
ELEC,McDonald's #31850 - Flower Mound TX,3601 FM 407,,Flower Mound,TX,75028,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,33.071809,-97.085119,2015-01-30,63495,2015-01-30 08:10:43 UTC,,,,,,,,,J1772
ELEC,CITY OF SEATTLE,600 Pine St,,Seattle,WA,98101,,888-758-4389,E,,Public,24 hours daily,,,,,,7,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,47.6125141,-122.3354092,2015-01-30,43306,2015-01-30 08:50:41 UTC,,,,,,,,,J1772
ELEC,Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",,San Franciso,CA,94111,,800-663-5633,E,,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,,,,,2,,,SemaCharge Network,http://www.semacharge.com/,GPS,37.7950272,-122.3985003,2015-01-30,53540,2015-01-30 08:35:11 UTC,,,,,,,,,J1772
ELEC,PARKWAY,721 Arch St,,Philadelphia,PA,19106,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,39.9528732,-75.1528625,2015-01-30,48103,2015-01-30 09:03:24 UTC,,,,,,,,,J1772
ELEC,Municipal Lot,38767 SE River St,,Snoqualmie,WA,98065,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinknetwork.com/,GPS,47.527427,-121.823532,2015-01-30,48607,2015-01-30 08:11:27 UTC,,,,,,,,,J1772
ELEC,GATEWAY TECH B,380 McCanna Pkwy,,Burlington,WI,53105,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.6727905,-88.2556,2015-01-30,38977,2015-01-30 08:54:03 UTC,,,,,,,,,NEMA520 J1772
ELEC,NATIONAL GRID,104-160 Blackstone St,,Providence,RI,02905,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8096008,-71.4088529,2015-01-30,53052,2015-01-30 09:10:17 UTC,,,,,,,,,J1772
ELEC,San Francisco General Hospital Garage,2500 24th St,At Potrero Avenue,San Francisco,CA,94110,,415-206-8770,E,,Public,24 hours daily; pay lot,,,,,,3,,,,,200-8,37.753135,-122.404374,2015-01-06,21357,2015-01-06 17:49:31 UTC,LG,,,2002-01-31,,,,,J1772
